Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Safekeep,Yael van der Wouden,"",9781668034347,hardcover,read,2025/06/29,2026/02/10,2026/02/07-2026/02/10,1,"",,"","","","","",3.5,"<div>Hmm, little bit disappointed cause I was expecting a lot from this one. It wasn't bad, it was actually so cool to be in just that one house and I also felt that claustrophobia. I just think I don't like spicy books (there's not too much in this) and although the twist was really good, I wish it discussed one or the other aspect of the story and not both.&nbsp;<br><br>There's both Isabel learning about herself and also the story of the war and how it impacts generations ahead. I would've preferred one or the other but that's just me.</div>","","","",No
The Details,Ia Genberg,Kira Josefsson (Translator),9780063309715,hardcover,read,2025/01/11,2026/02/13,2026/02/11-2026/02/13,1,"",,"","","","","",3.25,"<div>I actually really really enjoyed the first chapter and not so much the rest. I guess Joanna was just that girl but the others didn't interest me that much. I wanted to see if it would tell me a bit more about the author but I think each of these portraits will speak to someone else and not all of them are for everyone (there's 4 relationships/chapters in the book).&nbsp;<br><br>The prose was really beautiful tho and SO many swedish places mentioned, I highlighted them and I think there has to be at least like 50.</div>","","","",No
"The Calcutta Chromosome: A Novel of Fevers, Delirium & Discovery",Amitav Ghosh,"",9780380813940,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Red and the Black,Stendhal,Roger Gard (Translator),9780140447644,paperback,to-read,2026/02/14,"","",0,"",,,,,,,,,"",,"",No
The Year of Magical Thinking,Joan Didion,"",9781400078431,paperback,to-read,2026/02/20,"","",0,"",,,,,,,,,"",,"",No
The Lucky Ones: A Memoir,Zara Chowdhary,"",9780593727430,hardcover,to-read,2025/06/07,"","",0,"",,,,,,,,,"",,"",No
The Spinning Heart,Donal Ryan,"",9781781620076,hardcover,to-read,2026/02/11,"","",0,"",,,,,,,,,"",,"",No
Creation Lake,Rachel Kushner,"",B0CVHGMQSP,audio,did-not-finish,2025/05/04,"","",0,"",,,,,,,,,"",,"",No
Perfection,Vincenzo Latronico,Sophie Hughes (Translator),9781681378725,paperback,to-read,2026/02/21,"","",0,"",,,,,,,,,"",,"",No
The Upside of Uncertainty: A Guide to Finding Possibility in the Unknown,Nathan R Furr,"",9781647823016,hardcover,did-not-finish,2024/04/17,"","",0,"",,,,,,,,,"",,"",No
Anatomy of an Alibi,Ashley Elston,"",9780593834459,hardcover,to-read,2026/01/27,"","",0,"",,,,,,,,,"",,"",No
The Wife,Meg Wolitzer,"",9780743456661,paperback,did-not-finish,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
The Ocean at the End of the Lane,Neil Gaiman,Neil Gaiman (Narrator),9780062255686,audio,did-not-finish,2024/09/10,"","",0,"",,,,,,,,,"",,"",No
The Covenant of Water,Abraham Verghese,"",9780802162175,hardcover,to-read,2025/07/24,"","",0,"",,,,,,,,,"",,"",No
Taiwan Travelogue,"Yáng Shuāng-zǐ, 楊双子",Lin King (Translator),9781644453162,digital,to-read,2026/03/01,"","",0,"",,,,,,,,,"",,2026-booker-longlist,No
Wild Dark Shore,Charlotte McConaghy,"",9781250827951,hardcover,to-read,2026/02/21,"","",0,"",,,,,,,,,"",,botm,No
The Goldfinch,Donna Tartt,"",9780316055437,hardcover,to-read,2023/12/23,"","",0,"",,,,,,,,,"",,want-to-buy,No
Favourite Daughter,Morgan Dick,"Heather Kosik (Narrator), Susanna Fournier (Narrator)",9780385699327,audio,did-not-finish,2025/10/26,"","",0,"",,,,,,,,<div>Library lapsed</div>,"","","",No
Flesh,David Szalay,"",9781982122799,hardcover,to-read,2026/01/09,"","",0,"",,,,,,,,,"",,"",No
Anna Karenina,Leo Tolstoy,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780143035008,paperback,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
Going Solo,Zoe Sugg,"",9780141372174,hardcover,read,2022/09/30,"","",1,"",,,,,,,,,"",,"",No
Ways of Seeing,John Berger,"",9780140135152,paperback,to-read,2026/01/20,"","",0,"",,,,,,,,,"",,"",No
The Checklist Manifesto: How to Get Things Right,Atul Gawande,"",9780805091748,hardcover,read,2022/09/19,2021,2021,1,"",,,,,,,,,"",,"",No
The Brooklyn Follies,Paul Auster,"",9780571224982,paperback,to-read,2026/02/21,"","",0,"",,,,,,,,,"",,"",Yes
Monkey Grip,Helen Garner,"",9780140049534,paperback,to-read,2024/08/31,"","",0,"",,,,,,,,,"",,"",No
White Nights,Fyodor Dostoevsky,O.N. Shartse (Translator),"",hardcover,to-read,2024/04/27,"","",0,"",,,,,,,,,"",,"",No
The Bewitching,Silvia Moreno-Garcia,"",9780593874325,hardcover,to-read,2025/10/27,"","",0,"",,,,,,,,,"",,"",No
On the Calculation of Volume I,Solvej Balle,Barbara J. Haveland (Translator),9780571383375,paperback,to-read,2026/03/11,"","",0,"",,,,,,,,,"",,"",No
Such a Fun Age,Kiley Reid,"",9780525541929,digital,read,2022/09/19,2021,2021,1,"",,"","","","","",5.0,,"","","",No
The Death of Ivan Ilych,Leo Tolstoy,"رضی هیرمند (Translator), Ευγενία Ζήκου (Translator), Leo Tolstoy (Translator)",9781600964336,paperback,to-read,2024/01/02,"","",0,"",,,,,,,,,"",,want-to-buy,No
The Correspondent,Virginia Evans,"","",hardcover,to-read,2026/03/06,"","",0,"",,,,,,,,,"",,"",No
In a New York Minute,Kate Spencer,"","",digital,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
"Caliban and the Witch: Women, the Body and Primitive Accumulation",Silvia Federici,"",9781570270598,paperback,to-read,2026/01/20,"","",0,"",,,,,,,,,"",,"",No
"Slow Days, Fast Company",Eve Babitz,Matthew Specktor (Contributor),9781681370088,paperback,to-read,2023/08/07,"","",0,"",,,,,,,,,"",,"",No
Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,Amos Elon (Contributor),9780143039884,paperback,to-read,2026/02/18,"","",0,"",,,,,,,,,"",,"",No
Rethinking Adult ADHD: Helping Clients Turn Intentions Into Actions,J. Russell Ramsay,"",9781433831508,paperback,to-read,2025/01/14,"","",0,"",,,,,,,,,"",,"",No
